genome_name,taxon_id,antibiotic,resistant_phenotype,STRING_name_compact
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,ampicillin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,ceftiofur,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,chlortetracycline,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,clindamycin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,danofloxacin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,enrofloxacin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,florfenicol,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,gentamicin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,neomycin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,oxytetracycline,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,penicillin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,spectinomycin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,sulfadimethoxine,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,tiamulin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,tilmicosin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,trimethoprim/sulfamethoxazole,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,tulathromycin,,Achromobacter denitrificans
Achromobacter denitrificans strain USDA-ARS-USMARC-56712,32002,tylosin,,Achromobacter denitrificans
Acinetobacter baumannii WC-487,106654,amikacin,Susceptible,Acinetobacter nosocomialis
