Taxon ID,Number of Nodes,Number of Edges,Average Node Degree,Graph Density,Graph Diameter
261317,359,15460,5140.404547464296,0.24058137906350663,4
1797542,892,46136,7645.483750977631,0.11609870503741954,5
320483,904,53858,9335.704398732776,0.13195444878918844,6
1798586,1270,67658,8888.91525416983,0.08396219976049094,5
1423781,1386,89071,9033.782609288093,0.09280114189861483,5
1618469,903,47098,8777.235276251819,0.11564801241488706,6
879243,1673,113243,9159.864963750872,0.08096720500376083,6
1262952,1904,112460,7405.530432095044,0.062075802470226135,5
1797827,1956,168158,17103.539619795265,0.087949204755255,5
1703411,2583,148317,7468.076247868688,0.044477491361170116,5
643648,2296,166678,12994.260442047887,0.06326357101106025,5
1739394,1573,98695,7758.556280626552,0.07982591084603576,5
638302,2087,179941,15331.182560764317,0.08266532398663874,5
153496,2568,199113,12297.182419962923,0.06040998438120065,6
1085029,2632,224953,17703.80537657266,0.0649703269065699,7
1797683,2574,156730,7632.529074882129,0.047329705316491166,6
1797924,2520,232410,19191.62561662654,0.073224446586892,5
990288,2771,221757,14304.960001534819,0.057781796247102855,6
1121024,2201,182918,15739.672933018865,0.07555160877287183,7
1262878,2206,162183,11653.490987074942,0.06668393558692742,5
857291,2389,174831,9961.438489122089,0.061291177528496395,5
1895792,3059,295030,14990.830873121142,0.06307818911740351,6
1313304,2271,187724,17430.914993566246,0.07282941202714945,5
1811193,1962,143962,13205.706550138042,0.07483439818561854,6
1262748,2116,162848,11040.160475753997,0.07277569972337297,5
1428448,2217,214600,23480.26991648969,0.08736234121304198,5
43775,3306,373697,27582.271265564872,0.06840302278990293,6
1302685,3723,350278,13075.97185590441,0.05055608693537406,5
1158294,3518,357631,16992.420289247057,0.05780919865711949,5
398720,3697,335914,11839.788111853348,0.0491673370358791,6
525904,2775,193731,10905.595705297546,0.050333794501061985,5
487184,3232,457109,39469.71447673215,0.08754703812999684,5
152573,3604,415668,20528.52041990003,0.06402175028024186,5
1121947,1373,100742,14081.175988958035,0.10695865069573766,5
1940790,2255,159230,10254.442700403943,0.06265481223820869,6
1817859,2123,107141,5588.683985612403,0.04756530845907864,6
74426,1793,125088,13564.299981008327,0.0778623217273524,6
1123756,3825,466104,24171.116146358538,0.06373287390269916,5
1248917,2735,253239,14172.710565690353,0.06773369138574575,5
183,4027,430382,32600.239676809066,0.05309195222363305,5
569,3937,477239,24127.250920303093,0.0615949941249476,6
293826,4539,396979,15231.718890461776,0.03854542644031828,6
1123243,2409,210793,14819.713810387899,0.07267631487128143,5
266892,3476,349496,15093.337788509105,0.05786788750817528,6
1155777,3949,452826,22059.387090364093,0.05808942435505584,6
706194,246,10684,4392.555845915602,0.35453791272606605,3
160453,4006,664127,70675.55805579579,0.08278805262767522,6
519441,1411,95009,13442.874152694276,0.09550994968610362,6
444461,3172,322976,17344.63088388822,0.06422007768224249,7
930128,3168,281409,16113.131723968976,0.05609636784644679,5
105559,2798,277363,18688.349563544813,0.07088238879448854,5
42322,2477,180193,11077.964588451,0.05876128231099296,5
1301915,1624,199072,32361.132403714226,0.15105518273342863,5
1298913,4562,532841,24163.477847058602,0.051216780740511905,5
1423743,2658,189644,8960.092541444075,0.05370597082595968,6
56458,3308,311956,14475.827009771801,0.05703266202028675,7
470934,3799,580969,42833.94195054846,0.08053018580732908,6
795955,2417,200496,10145.444071851452,0.06866922214885181,5
1743144,4686,561168,21665.843010751407,0.051122374101014355,6
1806,4282,730254,62649.39482531185,0.07967316126206833,6
1916322,1723,81878,6948.638866982071,0.055192338674070765,5
441768,1365,83078,9651.864862400877,0.08924194085484408,4
272557,1621,125902,17081.416099710983,0.09588807396744883,6
467661,4175,540652,32023.38573431437,0.062049585543814144,6
38313,4315,554264,27205.419453533745,0.0595505430861605,6
1121483,5251,740290,29676.22690220605,0.053706958311795484,6
287099,3297,382885,20049.97210641146,0.07046804096692787,6
544718,1930,158238,13656.627459501475,0.08500632559488795,5
1736221,4856,754272,39529.982955778556,0.06398675256236458,6
671143,2976,191118,11651.124989123438,0.04317294659799403,5
391592,1777,113835,8696.444327108831,0.07213988045445559,5
1280950,3418,381463,18465.778196674346,0.065322888192158,5
1520813,3218,318752,15767.627712199119,0.06158086903536275,6
1763535,4415,538721,31798.395745751386,0.055287997984381006,6
1476857,4537,495002,18058.439800493725,0.048105543329994144,6
551991,3759,328611,11683.772580022463,0.046524636773818406,6
1798384,1142,48677,4875.569582752125,0.07471401096834897,6
294935,3906,546795,36808.797481618705,0.07169704443670823,6
1160721,2526,139015,5991.3152315939,0.04359100993234715,6
1801619,4790,654203,31931.879935511854,0.05703772258189108,6
1795556,2373,219761,24103.227505487634,0.07808510441738814,5
1805317,586,22241,4863.716122527702,0.12975700825530176,6
1304886,4639,588693,39488.53497646946,0.05472222539820025,5
1490052,3588,406049,20932.44992075716,0.06309931285992182,6
1121402,3361,440889,38288.97491748495,0.07808209716495941,5
1121372,2715,208398,9151.528766733578,0.05656448861438744,5
1802333,605,22758,4661.547097448546,0.12455804280006567,6
1619084,882,34591,5279.6153672507035,0.08903251046918957,6
1410574,1620,173128,32440.57769139472,0.13201869771768887,7
1123237,5432,698573,27568.95256559877,0.04735896773255806,6
1009711,429,11814,1968.4383856883856,0.1286843997124371,5
1249483,3845,428140,30492.91501455914,0.05793434180097942,6
381666,6160,1280438,108360.78529479667,0.06749904584780377,5
1121395,5238,680964,25578.832448997346,0.049648494138433884,5
1415773,533,16668,3968.6711016724685,0.11756407905316762,8
1671664,1509,91861,7497.987452632587,0.08073662358299363,5
1306159,5575,1005162,55553.023821445,0.0646925427312265,5
1122216,2004,158763,13764.57941119921,0.07910439729627117,4
291112,4268,401341,15739.399615953913,0.0440754211227201,7
1230338,1812,104321,6405.671995453549,0.06358066902897792,5
1434118,4080,816441,81805.3768326048,0.09811624821539304,6
1570340,2502,196679,9160.730055940308,0.06286182569338372,5
1123252,3984,330960,12583.032249575324,0.0417134266415398,6
1120934,7066,1220201,41117.17942955535,0.048884994758749224,6
1925589,3412,409387,21756.987481267723,0.07035149023073066,6
410072,3217,229699,10069.007900614963,0.04440399030647199,5
1502775,5004,637112,23484.41494789321,0.05089767881876789,5
743719,6073,714097,13702.564687303066,0.03873041586477393,6
2718,2413,125214,6313.002717813453,0.04302771265924831,6
1736403,3828,445095,18748.00272978569,0.060764834581545246,6
582899,3418,292795,13741.419215734815,0.05013910929296655,6
573064,1536,167824,27045.27754974115,0.14235884907709012,5
1264579,3628,466734,28782.833243469886,0.07093892462174996,8
762982,3344,295823,17309.441198673037,0.052924807531841866,5
1120950,7166,1077794,27557.24927328003,0.04198293133874996,6
1803431,4796,474228,19532.83892478526,0.04124291967324178,6
578455,8431,1038915,37306.55973133022,0.029235016848091964,7
319939,5730,1161848,82518.44748852823,0.07078575460510303,6
1602171,2246,165904,11163.18515557837,0.0658052821447483,5
1122925,4334,475322,15777.662079558942,0.05062211842428829,5
5759,4643,1748451,466823.9448225931,0.16224810820456512,5
1798254,2468,218373,15225.775043396692,0.07173227937790176,5
1189619,2846,281911,14522.54637690515,0.06963456249143188,5
1620392,3147,284293,13111.167741909152,0.05743024921463261,5
1727163,3354,351791,16507.339914236094,0.06256307819642286,5
1795631,3941,433275,21082.21682314192,0.05580729465195388,5
867904,2246,298046,35467.637842000244,0.11821897677038318,5
1158168,2843,267979,15031.28161550743,0.06633302829300604,5
582680,3856,390458,12859.969535433165,0.05253429560144448,5
1121348,3447,423833,24855.427977420764,0.07136219623547421,5
1977884,3574,317566,12063.891689446504,0.04973663854272335,6
1752226,2662,225476,11909.367524912901,0.06366157686887793,5
1349434,5703,829599,28832.536407427357,0.051023192762914754,6
439228,5167,749973,34660.39534720925,0.05619307015597735,5
1802597,497,15542,3404.8380768739426,0.12609528136561304,5
54398,3089,367844,28327.500543399656,0.07712558518694951,5
1276220,909,53644,11778.537334495319,0.12998744808401544,6
469381,2450,224098,19198.59870175202,0.0746987108440763,5
886377,3418,355392,15012.194540377439,0.06085841059391714,5
1813033,2887,302210,19225.855940471327,0.07254303409481795,5
758825,5716,1021144,73200.7374193641,0.06251849729420632,6
448385,8950,1213677,35894.182933561286,0.03030648535368953,6
243061,4881,961715,73182.10801324679,0.08075097148192556,6
990268,6916,1528829,106472.61784489168,0.06393545184503056,6
1321608,4765,627958,27198.611934058303,0.05532557490024431,5
1853690,3202,405823,33210.18857214253,0.07918805042381158,6
652,4303,488940,23264.045572634022,0.0528255237580346,7
1379903,4212,508378,22257.997923408024,0.05732487811170626,5
1492281,2744,326536,29780.721336643815,0.08676631425446592,5
1917163,4744,826809,57276.56161167499,0.07349154643089896,6
1313296,5656,735667,22821.60399245594,0.046001210579564966,6
1802651,673,27663,4358.669704255625,0.12233336871152621,5
114615,6555,987885,37611.6825734786,0.045989348129847514,6
224719,1600,167112,23700.322814511634,0.1306378986866792,6
1265503,4339,580353,30034.778912251022,0.06166560995723116,5
425264,3873,544849,51811.673301337825,0.07266467043507392,6
72758,2281,183987,11476.340259833385,0.0707549781951591,6
